,bulk_sample_1,scRNA_sample_1
Olfr1256,0.038021689216497484,0.0
Gm16465,0.7310305219002513,0.0
Cyp27b1,4.854442125264608,0.0
Klhl35,1.3219730101996434,4.953454919160713
Gpr45,1.1578875300685225,0.0
Senp5,54.271182317207526,41.628346251826486
Gm16110,0.0,0.0
Gm12977,0.1659433139612562,0.0
Sh2d4b,137.33292532597648,20.995259401809907
Tekt1,4.667210918887545,0.0
Gm13096,0.0,0.0
Ap3b1,108.46986923805136,127.87469282136125
Rnf208,1.7038800506037841,8.432959558407067
Gm10557,2.9825932412784626,11.171946939178728
Gigyf1,52.403230078802096,44.10170856814363
Slc38a11,1.3272111405081106,0.0
Olfr215,0.2073452996560855,0.0
Ahsa2,22.14503484194976,36.170934226260194
Pcdhb19,1.0679875945402615,0.0
Olfr1196,0.09851836231506028,0.0
Slc6a11,8.49861541737602,0.0
Gm10123,0.2419866923942512,67.45354709725524
Tex2,45.14209355199689,7.793365205096201
Odf1,0.40269187604704015,0.0
Ildr1,90.2206587979283,176.5649545777607
Mir466f-2,0.0,0.0
Efnb2,102.32592887497213,17.15985232572887
Bhlhe41,77.21029951500904,50.81741251384202
Ssbp3,76.29487514944876,93.68754973584075
Rpl14-ps1,63.57870288408799,288.92912960822974
A830052D11Rik,0.5944904703686935,0.0
Gm12569,0.25922354596784924,0.0
Slc4a1ap,27.422450622131393,24.262999866786494
Gm14733,0.0,0.0
Stab2,5.1099500035721865,2.1606905567019217
Gm15750,0.1451584783183568,0.0
Hs3st5,7.316046406083888,1.3051865503136362
Gm15152,0.038021689216497484,0.0
Ly6c2,22.139629026050322,50.141855768281715
Fggy,3.501040333214161,6.614295247741813
Ntn3,0.8537140163365428,0.0
Mir218-2,0.09159008376742714,0.0
Wfdc5,0.9694692322252011,0.0
Pcsk7,41.13459155778269,16.098517042785133
Gm16355,0.0,0.0
Gm12973,0.062186821337728695,0.0
Capza3,0.0,0.0
Abcc10,42.44559854292196,18.105135001533046
Sh3bp5,186.47076447379808,30.140877019950025
Grik2,1.2891894512916133,0.0
Fbxl7,8.433719041923839,0.0
Gng13,4.757613911188714,2229.9889236408444
Vmn2r-ps78,0.0,0.0
4930481B07Rik,0.8777114628668045,0.0
Trbc2,7.624270958658078,4.867942799306427
Slfn2,36.70446457216287,20.692016565547608
Gpr62,2.056551514169196,0.0
Mef2b,14.47934860526738,8.166186620046295
Mpp2,11.172635442568884,3.2527095070193472
Rnf128,88.37280736047242,25.558857700280644
Bap1,64.86367361094642,8.356028365661395
Ube2g2,54.02108025479939,61.28445598188889
Cdx4,1.467131488518,0.0
Vps18,50.29002536779716,21.998826346562016
Mir1898,0.02247498388206531,0.0
Gm6133,0.5236852222441657,8.41662620939333
Cyp2r1,0.6566772917064221,1.1545530955877599
Gm6982,0.0,0.0
Mir669j,0.0,0.0
Hrg,0.2470571371117489,0.0
Gm14564,0.0,0.0
Vmn1r230,0.0,0.0
Ffar3,2.4470769813601354,4.167725963682436
Cpne7,11.452308452997695,1.2293515047877095
Mrps36-ps2,0.16239533189195487,1.9639728814624526
Gm2832,0.038021689216497484,0.0
Gm17102,0.16932361043958802,0.0
Ltv1,40.77159822686184,21.23712646044126
Gm15939,0.0,0.0
Bloc1s3,15.877364993900017,0.0
Gm17196,0.13823019977072368,0.0
Flt4,14.43828199075449,0.0
Gm15045,0.0,0.0
