,bulk_sample_1,scRNA_sample_1
C330011M18Rik,2,0
Edem1,82,10
Synj1,52,23
Gm867,1,0
Hsp90b1,1570,1321
Olfr55,0,0
Olfr107,1,0
Ifna2,0,0
Gm16053,0,4
Gm3755,0,0
4932438H23Rik,2,0
Ndrg3,76,97
Zfp280b,66,2
Gm13175,0,0
Apol8,2,0
Pgr,11,0
Sema3d,9,0
Scaper,41,42
Kcnd2,1,0
Hesx1,1,2
Zfp820,1,0
Snord91a,0,0
Gm15792,0,0
Ccdc74a,3,0
Gm15073,0,0
2510009E07Rik,23,10
Alpl,61,0
Amotl2,28,20
Agps,54,19
Gm11691,0,0
Gm14173,2,8
G6pc,7,0
1110012L19Rik,13,22
Mir466b-5,0,0
Gm15136,0,0
Trpd52l3,0,0
mt-Atp8,3,0
Oxct2b,0,0
Gm12732,0,7
Nobox,2,0
Saa4,12,0
Mmp23,12,3
Grin2a,3,0
Bdnf,21,143
Cpb2,4,0
Slc40a1,11,11
Mir106a,0,0
Gm15062,0,0
Zbtb43,45,36
Ifngr1,48,17
Gm15719,0,3
Il1b,6,14
Cd9,140,289
Nr1d2,31,25
Gm8246,0,0
Gm16741,0,0
Tmeff1,10,7
Ear-ps3,0,0
Gm8666,1,18
Gm13118,0,0
Psg22,12,0
Arhgap27,81,37
Gm1110,1,0
Hoxd1,2,0
Dhrs1,36,101
Gm14395,0,0
Tmem144,3,0
Dmc1,3,0
Ints5,23,0
Scaf11,131,183
Treml4,3,0
Gm8334,0,0
Barx2,11,3
Nipsnap3a,0,0
Mir425,0,0
Esrp1,224,68
Gm14750,0,0
Cldn18,6,6
Gm17033,0,0
Eps8l3,5,20
Gm10154,1,39
Ccdc58,11,30
Krtap4-6,0,0
Pelo,5,5
Phf7,8,3
Gm10767,1,0
Gpr82,0,0
Hsf2bp,3,0
Ces1c,15,0
Vav2,84,14
Gm12848,0,0
D330041H03Rik,2,0
Gm14142,0,0
Gm14361,0,0
Elmo1,19,12
n-R5s86,0,0
Gm12073,0,0
Tjp3,192,114
Gm16085,0,0
Cntn2,25,0
Gm14228,1,0
Gm6430,0,0
Gm12612,0,0
Gm7853,0,0
Plekhn1,47,15
Prtg,1,0
n-R5s127,0,0
Tbc1d25,13,6
Olfr1291-ps1,0,0
B130055M24Rik,2,0
Cd38,2,0
Mir199a-2,0,0
Rtn4rl1,26,5
Gm5934,0,0
Gm13232,0,3
Gm10612,2,0
Ifi35,98,120
Ammecr1,11,2
Psma6,196,91
Tac2,53,4
Mrps18c,7,48
Rbfox1,24,9
Gm12638,0,0
Nynrin,10,3
BC048403,9,0
Fbxw14,0,0
Esrrg,38,0
Atp11b,121,13
Gm6781,1,1
Mir222,0,0
Gm4128,0,0
Slc39a13,16,37
Eya3,57,46
Manea,34,4
Agl,38,37
Gpr174,1,0
Disp2,21,0
Gm7598,6,0
Gm14261,0,0
Gm15025,0,0
Olfr1453,0,0
Tnfrsf26,2,0
Armcx4,145,0
